lactarius_deterrimus, http://www.mushroom.world/show?n=Lactarius-deterrimus
lactarius_helvus, http://www.mushroom.world/show?n=Lactarius-helvus
lactarius_lignyotus, http://www.mushroom.world/show?n=Lactarius-lignyotus
lactarius_mammosus, http://www.mushroom.world/show?n=Lactarius-mammosus
lactarius_rufus, http://www.mushroom.world/show?n=Lactarius-rufus
lactarius_tabidus, http://www.mushroom.world/show?n=Lactarius-tabidus
lactarius_torminosus, http://www.mushroom.world/show?n=Lactarius-torminosus
lactarius_trivialis, http://www.mushroom.world/show?n=Lactarius-trivialis
lactarius_turpis, http://www.mushroom.world/show?n=Lactarius-turpis
lactarius_volemus, http://www.mushroom.world/show?n=Lactarius-volemus
laetiporus_sulphureus, http://www.mushroom.world/show?n=Laetiporus-sulphureus
leccinum_aurantiacum, http://www.mushroom.world/show?n=Leccinum-aurantiacum
leccinum_scabrum, http://www.mushroom.world/show?n=Leccinum-scabrum
leccinum_versipelle, http://www.mushroom.world/show?n=Leccinum-versipelle
lepista_nuda, http://www.mushroom.world/show?n=Lepista-nuda
lycoperdon_excipuliforme, http://www.mushroom.world/show?n=Lycoperdon-excipuliforme
lycoperdon_nigrescens, http://www.mushroom.world/show?n=Lycoperdon-nigrescens
lycoperdon_perlatum, http://www.mushroom.world/show?n=Lycoperdon-perlatum
lycoperdon_pyriforme, http://www.mushroom.world/show?n=Lycoperdon-pyriforme
macrolepiota_, rachodes, http://www.mushroom.world/show?n=Macrolepiota--rachodes
macrolepiota_procera, http://www.mushroom.world/show?n=Macrolepiota-procera
marasmius_oreades, http://www.mushroom.world/show?n=Marasmius-oreades
megacollybia_platyphylla, http://www.mushroom.world/show?n=Megacollybia-platyphylla
melanoleuca_cognata, http://www.mushroom.world/show?n=Melanoleuca-cognata
morchella_elata, http://www.mushroom.world/show?n=Morchella-elata
mycena_galericulata, http://www.mushroom.world/show?n=Mycena-galericulata
mycena_pura, http://www.mushroom.world/show?n=Mycena-pura
otidea_onotica, http://www.mushroom.world/show?n=Otidea-onotica
paxillus_atrotomentosus, http://www.mushroom.world/show?n=Paxillus-atrotomentosus
paxillus_involutus, http://www.mushroom.world/show?n=Paxillus-involutus
phallus_rubicundus, http://www.mushroom.world/show?n=Phallus-rubicundus
pholiota_alnicola, http://www.mushroom.world/show?n=Pholiota-alnicola
pholiota_aurivella, http://www.mushroom.world/show?n=Pholiota-aurivella
pholiota_squarrosa, http://www.mushroom.world/show?n=Pholiota-squarrosa
polyporus_ciliatus, http://www.mushroom.world/show?n=Polyporus-ciliatus
polyporus_squamosus, http://www.mushroom.world/show?n=Polyporus-squamosus
psathyrella_candolleana, http://www.mushroom.world/show?n=Psathyrella-candolleana
psilocybe_semilanceata, http://www.mushroom.world/show?n=Psilocybe-semilanceata
rhizina_undulata, http://www.mushroom.world/show?n=Rhizina-undulata
rickenella_swartzii, http://www.mushroom.world/show?n=Rickenella-swartzii
russula_acrifolia, http://www.mushroom.world/show?n=Russula-acrifolia
russula_aeruginea, http://www.mushroom.world/show?n=Russula-aeruginea
russula_claroflava, http://www.mushroom.world/show?n=Russula-claroflava
russula_decolorans, http://www.mushroom.world/show?n=Russula-decolorans
russula_emetica, http://www.mushroom.world/show?n=Russula-emetica
russula_obscura, http://www.mushroom.world/show?n=Russula-obscura
russula_paludosa, http://www.mushroom.world/show?n=Russula-paludosa
russula_xerampelina, http://www.mushroom.world/show?n=Russula-xerampelina
